t=0 enPsi maxBondDim enPhi svn(x) 
0 -8.91547 40 -7.37165 0.730453 0.603178 0.651981 0.636503 0.651981 0.603179 0.730453 
0.1 -8.91547 38 -7.37165 9.96003e-07 0.00191505 0.005734 0.00597064 0.00178611 1.72892e-06 1.51491e-07 
0.2 -8.91547 38 -7.37165 1.62569e-05 0.00767084 0.0225501 0.0234739 0.00716515 3.15557e-05 3.2285e-06 
0.3 -8.91547 38 -7.37165 8.18624e-05 0.0172991 0.0494107 0.0514127 0.0161903 0.000160267 1.67268e-05 
0.4 -8.91547 38 -7.37165 0.00025646 0.0308457 0.0848558 0.0882543 0.0289333 0.000503992 5.37334e-05 
0.5 -8.91547 38 -7.37165 0.000619232 0.0483405 0.127203 0.132246 0.0454459 0.00122003 0.000133609 
0.6 -8.91547 38 -7.37165 0.00126757 0.0697537 0.174712 0.181591 0.0657108 0.00250061 0.000282954 
0.7 -8.91547 38 -7.37165 0.00231473 0.0949493 0.225723 0.234583 0.0895933 0.0045642 0.000536715 
0.8 -8.91547 38 -7.37165 0.0038877 0.12365 0.278736 0.289685 0.116808 0.00764478 0.000939258 
0.9 -8.91547 38 -7.37165 0.00612521 0.155422 0.332426 0.345534 0.146908 0.01198 0.00154522 
1 -8.91547 38 -7.37165 0.00917561 0.189679 0.385598 0.400886 0.179293 0.0177989 0.00241987 
1.1 -8.91547 38 -7.37165 0.013194 0.225711 0.437165 0.454593 0.213244 0.0253111 0.00363875 
1.2 -8.91547 38 -7.37165 0.0183381 0.262723 0.486162 0.505616 0.247976 0.0346954 0.00528636 
1.3 -8.91547 38 -7.37165 0.0247617 0.299896 0.531781 0.553071 0.282688 0.0460917 0.00745369 
1.4 -8.91547 38 -7.37165 0.0326056 0.336435 0.573411 0.596269 0.316624 0.0595931 0.0102346 
1.5 -8.91547 38 -7.37165 0.0419869 0.371628 0.610678 0.634768 0.349125 0.0752401 0.013721 
1.6 -8.91547 38 -7.37165 0.0529859 0.404883 0.643471 0.668396 0.379671 0.0930171 0.0179975 
1.7 -8.91547 39 -7.37165 0.0656345 0.435756 0.671963 0.697277 0.407905 0.112852 0.0231352 
1.8 -8.91547 40 -7.37165 0.0799058 0.463973 0.696607 0.721841 0.433647 0.134618 0.0291856 
1.9 -8.91547 40 -7.37165 0.0957085 0.489431 0.718127 0.742808 0.456903 0.158139 0.0361749 
2 -8.91547 43 -7.37165 0.112886 0.512191 0.737464 0.76115 0.477848 0.183201 0.0440993 
2.1 -8.91547 44 -7.37165 0.131224 0.532471 0.755682 0.777998 0.496811 0.209558 0.0529218 
2.2 -8.91547 46 -7.37165 0.150456 0.550617 0.773825 0.794501 0.514244 0.236946 0.0625707 
2.3 -8.91547 47 -7.37165 0.170282 0.567078 0.79275 0.81166 0.530686 0.265092 0.0729407 
2.4 -8.91547 50 -7.37165 0.190382 0.582367 0.812984 0.830161 0.546714 0.293724 0.0838954 
2.5 -8.91547 51 -7.37165 0.210435 0.59702 0.83464 0.850283 0.562899 0.322582 0.0952735 
