h en0 var0 maxBondDim0 gap var1 maxBondDim1 
0 -28.5689 0.00336114 44 0.528463 0.0036784 77 
0.5 -36.763 0.0041614 19 2.14345 1.65363e-05 37 
1 -47.7511 0.00308367 13 3.186 1.04088e-05 23 
1.5 -59.3628 0.00432726 12 4.16813 1.8982e-05 17 
2 -71.2696 0.00677367 10 5.14754 4.2604e-05 15 
2.5 -83.3439 0.00611047 9 6.13012 3.73454e-05 12 
3 -95.5232 0.00702374 8 7.11593 4.74568e-05 10 
3.5 -107.773 0.00495319 8 8.10434 2.54883e-05 9 
4 -120.072 0.00364612 8 9.09475 1.40815e-05 8 
4.5 -132.407 0.00485255 8 10.0867 3.5313e-05 8 
5 -144.77 0.0116244 6 11.0799 0.000130371 8 
5.5 -157.154 0.0114242 6 12.0741 0.000126437 8 
6 -169.554 0.0145822 5 13.069 0.000199088 8 
6.5 -181.967 0.012692 5 14.0646 0.000150777 8 
7 -194.391 0.0111459 5 15.0607 0.000121012 7 
7.5 -206.824 0.0114593 4 16.0573 0.000124482 7 
8 -219.265 0.0102264 4 17.0542 0.000100457 7 
8.5 -231.711 0.00918184 4 18.0514 8.11096e-05 7 
9 -244.163 0.0082893 4 19.0489 6.68282e-05 7 
